lambda,F_lambda
0.5,0.5
0.55,0.3333333333333333
0.6,0.25
0.65,0.2
0.7,0.16666666666666666
0.75,0.14285714285714285
0.8,0.125
0.8500000000000001,0.1111111111111111
0.9,0.1
0.95,0.09090909090909091
